DimensioneVettore Tempo
26 5.292e-06
85 4.45e-05
70 3.0916e-05
62 2.3958e-05
23 4.125e-06
60 2.2459e-05
18 2.75e-06
73 3.6458e-05
84 4.4708e-05
94 5.4792e-05
10 1.042e-06
83 4.65e-05
5 2.92e-07
48 1.6042e-05
82 4.3375e-05
79 4.0375e-05
22 4.125e-06
23 4.333e-06
88 5.1291e-05
60 2.5208e-05
56 2.1667e-05
45 1.4084e-05
4 2.5e-07
5 3.33e-07
84 4.4167e-05
66 3.0834e-05
28 6.458e-06
34 7.875e-06
1 8.3e-08
82 4.3375e-05
54 2.025e-05
50 1.7209e-05
97 5.8417e-05
3 2.08e-07
72 4.3625e-05
85 4.7583e-05
82 4.3333e-05
82 4.1916e-05
76 3.9583e-05
15 2e-06
17 2.416e-06
5 2.92e-07
37 9.042e-06
40 1.1416e-05
73 3.3333e-05
60 2.3833e-05
16 2.375e-06
27 5.666e-06
25 5e-06
0 8.3e-08
68 3.1291e-05
71 3.2584e-05
97 5.9667e-05
76 3.6167e-05
19 3.375e-06
42 2.2e-05
11 1.167e-06
68 2.8917e-05
70 3.1291e-05
41 1.2792e-05
23 4.209e-06
44 1.3416e-05
95 5.7208e-05
15 2.166e-06
50 1.7958e-05
54 2.0292e-05
51 1.775e-05
62 2.4041e-05
36 9.042e-06
66 2.8667e-05
95 5.875e-05
68 2.9166e-05
52 1.8208e-05
33 7.167e-06
56 2.125e-05
44 1.4e-05
70 4.0875e-05
90 5.1333e-05
73 3.1125e-05
34 8.041e-06
71 3.1709e-05
15 2.208e-06
9 8.33e-07
62 2.6542e-05
31 7.458e-06
28 6.375e-06
19 3.208e-06
11 1e-06
26 4.25e-06
48 1.6042e-05
88 4.5833e-05
21 3.875e-06
70 3.1709e-05
22 4.209e-06
59 2.3333e-05
55 2.0625e-05
96 5.6542e-05
57 2.125e-05
100 6.7167e-05
5 2.91e-07
