DimensioneVettore Tempo
36 2.875e-06
21 1.125e-06
3 1.25e-07
53 4.25e-06
96 1.3292e-05
55 5.083e-06
79 1.0542e-05
27 1.625e-06
43 3.292e-06
53 4.917e-06
33 2.167e-06
12 4.17e-07
80 9.959e-06
16 7.5e-07
18 7.92e-07
56 5.5e-06
36 2.708e-06
65 5.459e-06
57 4.959e-06
16 7.08e-07
59 5.334e-06
58 5.5e-06
55 5.75e-06
74 8.875e-06
35 2.375e-06
90 1.2125e-05
14 5.42e-07
25 1.583e-06
87 1.1375e-05
58 6.334e-06
60 5.5e-06
24 1.25e-06
44 3.166e-06
7 2.91e-07
48 3.833e-06
39 2.542e-06
83 9.917e-06
46 3.125e-06
58 5.625e-06
31 2e-06
53 4.917e-06
86 1.0833e-05
69 7.083e-06
29 1.666e-06
41 3.042e-06
14 6.25e-07
63 6.792e-06
34 1.958e-06
59 5.208e-06
12 5.42e-07
85 1.0708e-05
95 1.3959e-05
29 1.583e-06
75 8.542e-06
1 8.4e-08
52 4.625e-06
62 6.625e-06
5 2.09e-07
66 6.167e-06
9 3.75e-07
55 5.208e-06
57 5.041e-06
15 5.42e-07
18 9.17e-07
36 2.417e-06
94 1.1875e-05
22 9.59e-07
68 7.208e-06
43 2.833e-06
39 2.709e-06
100 1.3291e-05
67 7.083e-06
75 7.791e-06
43 3.291e-06
47 3.583e-06
93 1.2709e-05
32 2.25e-06
98 1.3958e-05
25 1.125e-06
13 4.59e-07
60 5.833e-06
94 1.2625e-05
1 8.3e-08
24 1.209e-06
69 6.667e-06
99 1.4209e-05
9 3.33e-07
0 4.1e-08
95 1.4042e-05
12 4.58e-07
53 4e-06
60 5.875e-06
12 5.41e-07
76 8.666e-06
84 1.0208e-05
32 1.833e-06
14 5.83e-07
88 1.05e-05
94 1.3625e-05
93 1.2334e-05
