DimensioneVettore Tempo
99 2.15e-05
53 1.0084e-05
78 1.5333e-05
64 1.1166e-05
72 1.35e-05
14 1.583e-06
91 1.7625e-05
1 2.5e-07
67 1.1791e-05
12 1.292e-06
45 7.625e-06
0 1.67e-07
87 1.725e-05
15 1.708e-06
50 8.375e-06
29 4.625e-06
55 9.5e-06
50 3.4333e-05
12 1.625e-06
70 1.275e-05
6 6.67e-07
11 1.25e-06
46 8.167e-06
52 9.208e-06
89 1.6292e-05
24 3.458e-06
60 1.1416e-05
91 1.9084e-05
38 6.333e-06
85 1.625e-05
99 1.9875e-05
71 1.3584e-05
52 8.75e-06
26 3.709e-06
59 1.0417e-05
4 4.58e-07
61 1.1e-05
8 8.34e-07
39 6.791e-06
3 2.5e-07
53 9.625e-06
72 1.3583e-05
15 1.833e-06
16 1.916e-06
51 8.625e-06
68 1.2584e-05
78 1.3917e-05
21 2.792e-06
92 1.7666e-05
1 1.66e-07
63 1.1542e-05
43 7.75e-06
68 1.2042e-05
18 2.625e-06
33 5.042e-06
72 1.2875e-05
50 8.958e-06
99 1.8833e-05
36 5.792e-06
96 1.8667e-05
32 4.667e-06
68 1.2583e-05
71 1.2417e-05
25 3.75e-06
83 1.55e-05
7 7.09e-07
38 5.833e-06
19 2.875e-06
52 7.625e-06
79 1.2583e-05
89 1.3917e-05
34 4.417e-06
76 1.2291e-05
69 1.0125e-05
21 2.833e-06
37 5.084e-06
24 3.042e-06
17 1.958e-06
81 1.3292e-05
39 5.417e-06
35 4.667e-06
40 5.416e-06
16 1.5e-06
24 2.959e-06
59 8.666e-06
100 1.6375e-05
57 8.125e-06
75 1.1666e-05
46 6.75e-06
38 5.125e-06
48 7.375e-06
41 5.75e-06
20 2.5e-06
38 5.583e-06
69 1.1125e-05
28 3.709e-06
68 1.075e-05
17 2.292e-06
59 8.916e-06
88 1.5625e-05
