DimensioneVettore Tempo
67 1.675e-05
95 2.8334e-05
24 2.625e-06
68 1.5459e-05
58 1.1917e-05
72 1.6917e-05
67 1.525e-05
33 4.666e-06
76 1.8583e-05
62 1.325e-05
65 1.4375e-05
10 7.92e-07
53 1.0083e-05
89 2.45e-05
60 1.2625e-05
10 7.5e-07
98 2.8667e-05
99 3.0291e-05
26 3.125e-06
17 1.834e-06
64 1.4542e-05
13 1e-06
48 8.959e-06
40 6.375e-06
59 1.1583e-05
29 3.625e-06
93 2.6292e-05
10 7.08e-07
75 1.7958e-05
32 4.375e-06
9 5.83e-07
55 1.2542e-05
14 1.292e-06
94 3.1416e-05
32 4.5e-06
93 3.0666e-05
46 8.291e-06
29 4.833e-06
88 2.7e-05
98 3.4041e-05
92 2.8834e-05
85 2.6375e-05
53 1.1917e-05
8 5.42e-07
56 1.275e-05
69 1.5292e-05
29 3.917e-06
83 2.3791e-05
95 3.025e-05
14 1.25e-06
60 1.2041e-05
50 8.916e-06
7 7.08e-07
5 2.5e-07
66 1.6583e-05
40 6.5e-06
13 1.084e-06
51 2.1125e-05
39 6.125e-06
90 2.5e-05
92 3.5209e-05
34 4.75e-06
92 2.5958e-05
85 2.2459e-05
97 2.7708e-05
27 3e-06
99 2.8666e-05
13 1e-06
43 6.625e-06
95 2.6291e-05
67 1.4917e-05
54 1.0125e-05
16 1.541e-06
9 5e-07
39 4.5417e-05
80 5.55e-05
84 2.1916e-05
57 3.2e-05
86 2.425e-05
75 1.8458e-05
71 3.275e-05
9 5.41e-07
75 1.7833e-05
67 1.5e-05
73 1.6625e-05
85 2.2375e-05
89 2.4291e-05
46 7.75e-06
53 1.0166e-05
61 1.2792e-05
57 1.1375e-05
66 1.5042e-05
22 2.25e-06
43 7.042e-06
61 1.25e-05
88 2.3667e-05
78 1.9625e-05
62 1.2708e-05
2 1.25e-07
18 1.666e-06
