Taglia_N;Tempo_Esecuzione
1;0
2;5.83e-09
3;3.458e-08
4;7.125e-08
5;1.2375e-07
6;2.2167e-07
7;2.7375e-07
8;3.5584e-07
9;4.575e-07
10;5.7333e-07
11;7.0833e-07
12;8.5125e-07
13;1.02792e-06
14;1.16958e-06
15;1.36458e-06
16;1.58208e-06
17;1.78625e-06
18;2.10375e-06
19;2.23458e-06
20;2.48125e-06
21;2.83583e-06
22;3.02917e-06
23;3.32458e-06
24;3.59958e-06
25;3.90584e-06
26;4.19917e-06
27;4.66667e-06
28;4.8825e-06
29;5.24666e-06
30;5.56708e-06
31;5.86833e-06
32;6.42667e-06
33;6.7325e-06
34;7.04416e-06
35;7.50875e-06
36;7.82083e-06
37;8.23792e-06
38;8.6075e-06
39;9.17209e-06
40;9.61125e-06
41;1.00412e-05
42;1.05417e-05
43;1.098e-05
44;1.15313e-05
45;1.20029e-05
46;1.24675e-05
47;1.30308e-05
48;1.35979e-05
49;1.40337e-05
50;1.46817e-05
51;1.50954e-05
52;1.56313e-05
53;1.63767e-05
54;1.72175e-05
55;1.77383e-05
56;1.80792e-05
57;1.87054e-05
58;1.95646e-05
59;1.99354e-05
60;2.06575e-05
61;2.111e-05
62;2.17688e-05
63;2.22942e-05
64;2.32646e-05
65;2.36625e-05
66;2.45033e-05
67;2.51913e-05
68;2.63092e-05
69;2.66175e-05
70;2.71487e-05
71;2.82992e-05
72;2.88112e-05
73;2.95975e-05
74;3.02813e-05
75;3.105e-05
76;3.16725e-05
77;3.33054e-05
78;3.32529e-05
79;3.44304e-05
80;3.58221e-05
81;3.61912e-05
82;3.69829e-05
83;3.76825e-05
84;3.85204e-05
85;3.94437e-05
86;4.01083e-05
87;4.11975e-05
88;4.21171e-05
89;4.27654e-05
90;4.38496e-05
91;4.45375e-05
92;4.592e-05
93;4.65533e-05
94;4.75454e-05
95;4.82888e-05
96;4.93892e-05
97;5.04871e-05
98;5.13267e-05
99;5.23296e-05
100;5.36363e-05
