Taglia_N;Tempo_Esecuzione
1;0
2;5.83e-09
3;2.875e-08
4;5.625e-08
5;8.584e-08
6;1.2875e-07
7;1.725e-07
8;2.1084e-07
9;2.575e-07
10;2.975e-07
11;3.4625e-07
12;3.875e-07
13;4.3958e-07
14;4.8625e-07
15;5.4167e-07
16;6.0959e-07
17;6.5417e-07
18;7.2542e-07
19;7.8625e-07
20;8.4542e-07
21;9.2458e-07
22;9.9375e-07
23;1.05292e-06
24;1.14416e-06
25;1.2125e-06
26;1.28667e-06
27;1.38542e-06
28;1.46958e-06
29;1.61375e-06
30;1.64417e-06
31;1.71208e-06
32;1.8075e-06
33;1.94792e-06
34;2.00125e-06
35;2.18833e-06
36;2.24333e-06
37;2.31875e-06
38;2.90083e-06
39;2.9675e-06
40;3.28042e-06
41;3.63208e-06
42;3.24541e-06
43;3.05959e-06
44;3.36083e-06
45;3.30708e-06
46;3.48333e-06
47;3.54292e-06
48;3.70167e-06
49;3.845e-06
50;3.95167e-06
51;4.20333e-06
52;4.21125e-06
53;4.39917e-06
54;4.67833e-06
55;4.68375e-06
56;4.83417e-06
57;5.03916e-06
58;5.19625e-06
59;5.37625e-06
60;5.67125e-06
61;5.76458e-06
62;5.90334e-06
63;6.09584e-06
64;6.15625e-06
65;6.32042e-06
66;6.49125e-06
67;6.73625e-06
68;6.92875e-06
69;7.09125e-06
70;7.38792e-06
71;7.47625e-06
72;7.6975e-06
73;7.93458e-06
74;8.1175e-06
75;8.22667e-06
76;8.4675e-06
77;8.68375e-06
78;8.94375e-06
79;9.05958e-06
80;9.4125e-06
81;9.63916e-06
82;9.86166e-06
83;1.00879e-05
84;1.02342e-05
85;1.03396e-05
86;1.09096e-05
87;1.09617e-05
88;1.11854e-05
89;1.14679e-05
90;1.15762e-05
91;1.18487e-05
92;1.20208e-05
93;1.23538e-05
94;1.25058e-05
95;1.31887e-05
96;1.31696e-05
97;1.34063e-05
98;1.35825e-05
99;1.38658e-05
100;1.42017e-05
