Taglia_N;Tempo_Esecuzione
1;0
2;5e-09
3;1.9e-07
4;4.1e-07
5;6.1041e-07
6;8.4542e-07
7;1.06959e-06
8;1.37959e-06
9;1.56791e-06
10;1.85208e-06
11;2.15917e-06
12;2.3625e-06
13;2.89e-06
14;3.07083e-06
15;3.23125e-06
16;3.47042e-06
17;3.815e-06
18;4.14667e-06
19;4.44625e-06
20;4.61125e-06
21;4.81125e-06
22;5.165e-06
23;5.36167e-06
24;5.91625e-06
25;6.28875e-06
26;7.74916e-06
27;6.79209e-06
28;7.17209e-06
29;7.35459e-06
30;7.69166e-06
31;7.90125e-06
32;8.195e-06
33;8.27208e-06
34;8.96916e-06
35;9.20542e-06
36;9.57042e-06
37;9.70709e-06
38;1.01233e-05
39;1.03642e-05
40;1.06513e-05
41;1.08492e-05
42;1.12308e-05
43;1.15425e-05
44;1.19625e-05
45;1.21187e-05
46;1.25792e-05
47;1.26979e-05
48;1.3035e-05
49;1.3185e-05
50;1.39558e-05
51;1.41725e-05
52;1.47404e-05
53;1.48633e-05
54;1.52208e-05
55;1.54863e-05
56;1.59804e-05
57;1.61388e-05
58;1.6625e-05
59;1.71308e-05
60;1.72196e-05
61;1.76167e-05
62;1.78846e-05
63;1.81271e-05
64;1.8335e-05
65;1.82817e-05
66;1.94e-05
67;1.95679e-05
68;1.99971e-05
69;2.01283e-05
70;2.06283e-05
71;2.09579e-05
72;2.12692e-05
73;2.12417e-05
74;2.22854e-05
75;2.21254e-05
76;2.257e-05
77;2.26054e-05
78;2.30746e-05
79;2.35558e-05
80;2.36537e-05
81;2.37254e-05
82;2.43521e-05
83;2.4795e-05
84;2.50192e-05
85;2.51608e-05
86;2.58329e-05
87;2.68696e-05
88;2.6515e-05
89;2.67196e-05
90;2.72258e-05
91;2.77804e-05
92;2.77e-05
93;2.78067e-05
94;2.8295e-05
95;2.87558e-05
96;2.88563e-05
97;2.91996e-05
98;2.97129e-05
99;3.01638e-05
100;3.071e-05
