Taglia_N;Tempo_Esecuzione
1;0
2;8.75e-09
3;3.25e-08
4;5.875e-08
5;9.208e-08
6;1.2666e-07
7;1.6709e-07
8;2.0417e-07
9;2.5042e-07
10;4.8375e-07
11;3.4167e-07
12;3.9375e-07
13;4.35e-07
14;4.8792e-07
15;5.4208e-07
16;5.9291e-07
17;6.5375e-07
18;7.1375e-07
19;7.6834e-07
20;8.4083e-07
21;9.0375e-07
22;9.7541e-07
23;1.05625e-06
24;1.2025e-06
25;1.22375e-06
26;1.28333e-06
27;1.37041e-06
28;1.55791e-06
29;1.54375e-06
30;1.62e-06
31;1.73041e-06
32;1.83042e-06
33;1.92959e-06
34;1.99958e-06
35;2.12666e-06
36;2.24041e-06
37;2.44834e-06
38;2.53375e-06
39;2.57625e-06
40;2.645e-06
41;2.80958e-06
42;3.55458e-06
43;3.42291e-06
44;3.32458e-06
45;3.26084e-06
46;3.40042e-06
47;3.61334e-06
48;3.69583e-06
49;3.96333e-06
50;4.07375e-06
51;4.33375e-06
52;4.39542e-06
53;4.41041e-06
54;4.61875e-06
55;4.65375e-06
56;4.66375e-06
57;4.8025e-06
58;4.99416e-06
59;5.02416e-06
60;5.12541e-06
61;5.27375e-06
62;5.46167e-06
63;5.54959e-06
64;5.54208e-06
65;5.65208e-06
66;5.79542e-06
67;5.99209e-06
68;6.12625e-06
69;6.26333e-06
70;6.30792e-06
71;6.81542e-06
72;6.51291e-06
73;6.545e-06
74;6.74666e-06
75;6.84542e-06
76;6.89958e-06
77;6.96125e-06
78;7.16292e-06
79;7.27334e-06
80;7.45458e-06
81;7.68125e-06
82;7.615e-06
83;7.81125e-06
84;7.88208e-06
85;7.99708e-06
86;8.18125e-06
87;8.09875e-06
88;8.38584e-06
89;8.48333e-06
90;8.67167e-06
91;8.79416e-06
92;8.7475e-06
93;8.94584e-06
94;9.05916e-06
95;9.20208e-06
96;9.34916e-06
97;9.43459e-06
98;9.5575e-06
99;9.71375e-06
100;9.80667e-06
