Taglia_N;Tempo_Esecuzione
1;0
2;5.42e-09
3;3.875e-08
4;7.917e-08
5;1.2542e-07
6;1.875e-07
7;2.5209e-07
8;3.1958e-07
9;3.7958e-07
10;4.4125e-07
11;5.2334e-07
12;5.9541e-07
13;6.6875e-07
14;7.2583e-07
15;8.2458e-07
16;1.02959e-06
17;9.6583e-07
18;1.09458e-06
19;1.13917e-06
20;1.20166e-06
21;1.36e-06
22;1.3725e-06
23;1.45375e-06
24;1.53625e-06
25;1.72958e-06
26;1.715e-06
27;1.78708e-06
28;1.92791e-06
29;2.11e-06
30;2.06916e-06
31;2.16333e-06
32;2.26166e-06
33;2.40166e-06
34;2.54667e-06
35;2.70458e-06
36;2.71625e-06
37;3.69166e-06
38;2.87291e-06
39;3.12792e-06
40;3.03208e-06
41;3.14084e-06
42;3.28791e-06
43;3.44167e-06
44;3.43125e-06
45;3.51208e-06
46;3.73042e-06
47;3.74708e-06
48;3.89541e-06
49;3.89958e-06
50;4.21666e-06
51;4.21667e-06
52;4.22334e-06
53;4.41333e-06
54;4.48458e-06
55;4.56833e-06
56;4.79209e-06
57;4.78708e-06
58;5.00209e-06
59;5.10792e-06
60;5.19e-06
61;5.15666e-06
62;5.26542e-06
63;5.51083e-06
64;5.57333e-06
65;5.72208e-06
66;5.77917e-06
67;5.81209e-06
68;5.965e-06
69;6.1325e-06
70;6.305e-06
71;6.4475e-06
72;6.46583e-06
73;6.58208e-06
74;6.67416e-06
75;6.87542e-06
76;6.93292e-06
77;7.03042e-06
78;7.13458e-06
79;7.24875e-06
80;7.39583e-06
81;7.49875e-06
82;7.56584e-06
83;8.01083e-06
84;7.90833e-06
85;8.18791e-06
86;8.16208e-06
87;8.18083e-06
88;8.35125e-06
89;8.50542e-06
90;8.61458e-06
91;8.73584e-06
92;8.81292e-06
93;8.89083e-06
94;9.07042e-06
95;9.31e-06
96;9.3875e-06
97;9.42625e-06
98;9.5175e-06
99;9.72e-06
100;9.76708e-06
