Taglia_N;Tempo_Esecuzione
1;0
2;5.42e-09
3;3.416e-08
4;7.166e-08
5;1.225e-07
6;1.8208e-07
7;2.4916e-07
8;3.3833e-07
9;4.1208e-07
10;5.3375e-07
11;6.3167e-07
12;7.3959e-07
13;8.4208e-07
14;9.7709e-07
15;1.19875e-06
16;1.22292e-06
17;1.37291e-06
18;1.50166e-06
19;1.63875e-06
20;1.91875e-06
21;1.95208e-06
22;2.1225e-06
23;2.3575e-06
24;2.47959e-06
25;2.64292e-06
26;2.94375e-06
27;3.02791e-06
28;3.22333e-06
29;3.3925e-06
30;3.67125e-06
31;3.7975e-06
32;4.08e-06
33;4.21791e-06
34;5.25333e-06
35;5.21959e-06
36;4.99834e-06
37;5.25792e-06
38;5.58125e-06
39;5.6e-06
40;5.9325e-06
41;6.19125e-06
42;6.47166e-06
43;6.64375e-06
44;6.86958e-06
45;7.23334e-06
46;7.51e-06
47;7.79958e-06
48;8.17292e-06
49;8.38458e-06
50;8.69542e-06
51;9.00083e-06
52;9.25125e-06
53;9.58875e-06
54;9.93167e-06
55;1.02408e-05
56;1.05704e-05
57;1.08779e-05
58;1.12154e-05
59;1.14821e-05
60;1.18625e-05
61;1.22021e-05
62;1.26829e-05
63;1.28892e-05
64;1.33225e-05
65;1.37287e-05
66;1.39562e-05
67;1.44204e-05
68;1.48317e-05
69;1.50808e-05
70;1.54629e-05
71;1.59425e-05
72;1.63188e-05
73;1.70587e-05
74;1.72004e-05
75;1.76283e-05
76;1.79679e-05
77;1.83429e-05
78;1.87229e-05
79;1.94029e-05
80;1.97121e-05
81;2.02104e-05
82;2.05817e-05
83;2.09858e-05
84;2.15254e-05
85;2.19146e-05
86;2.23933e-05
87;2.27396e-05
88;2.33908e-05
89;2.38042e-05
90;2.42054e-05
91;2.47583e-05
92;2.517e-05
93;2.58867e-05
94;2.62283e-05
95;2.66671e-05
96;2.71654e-05
97;2.76879e-05
98;2.8785e-05
99;2.87246e-05
100;2.92158e-05
